Extracted from the UNHCR Population Statistics Reference Database,United Nations High Commissioner for Refugees,,,,,,,,,,,,
Date extracted: 2016-10-26 15:37:10 +02:00,,,,,,,,,,,,,
Year,Country / territory of asylum/residence,Origin,RSD procedure type / level,Total persons pending start-year,of which UNHCR-assisted,Applied during year,statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,Otherwise closed,Total decisions,Total persons pending end-year,of which UNHCR-assisted
2015,Hungary,Syrian Arab Rep.,G / RA,,,64081,,,,,,,
2015,Hungary,Syrian Arab Rep.,G / FI,823,,64587,19,140,108,46902,47169,18607,685
2015,Haiti,Syrian Arab Rep.,U / FI,,,*,,,,,,*,
2015,Croatia,Syrian Arab Rep.,G / FI,6,6,24,,*,*,22,26,*,*
2015,"China, Hong Kong SAR",Syrian Arab Rep.,U / FI,*,0,,,,,,,*,0
2015,Grenada,Syrian Arab Rep.,U / FI,,,*,*,,,,*,0,0
2015,Greece,Syrian Arab Rep.,G / RA,,,177,,,,,,,
2015,Greece,Syrian Arab Rep.,G / AR,7,,*,*,,*,,*,*,
2015,Greece,Syrian Arab Rep.,G / FI,175,,3316,2779,7,6,277,3069,445,
2015,Ghana,Syrian Arab Rep.,G / FI,73,73,20,42,,*,,44,49,49
2015,Georgia,Syrian Arab Rep.,G / JR,*,*,*,,*,*,,*,*,*
2015,Georgia,Syrian Arab Rep.,G / FI,30,30,20,5,22,9,9,45,5,5
2015,United Kingdom,Syrian Arab Rep.,G / AR,,,190,34,,55,*,92,,
2015,United Kingdom,Syrian Arab Rep.,G / RA,,,6,0,0,0,*,*,,
2015,United Kingdom,Syrian Arab Rep.,G / FI,1329,,2846,2011,42,213,250,2516,1648,
2015,Gabon,Syrian Arab Rep.,G / FA,*,*,*,,*,,,*,*,*
2015,France,Syrian Arab Rep.,G / RA,,,12,,,,,,,
2015,France,Syrian Arab Rep.,G / AR,80,,278,90,6,104,10,210,169,
2015,France,Syrian Arab Rep.,G / FI,1159,,5124,1587,735,74,,2396,2542,
2015,Finland,Syrian Arab Rep.,G / RA,,0,*,0,0,0,0,,0,0
2015,Finland,Syrian Arab Rep.,G / FI,55,0,836,106,21,*,55,184,705,0
2015,Ethiopia,Syrian Arab Rep.,J / FI,8,8,16,9,,,,9,15,15
2015,Estonia,Syrian Arab Rep.,G / FI,*,0,9,0,0,13,*,14,0,0
2015,Spain,Syrian Arab Rep.,G / FI,781,,5724,,,,,,3280,
2015,Egypt,Syrian Arab Rep.,U / FI,,,2415,2415,,,,2415,0,
2015,Algeria,Syrian Arab Rep.,U / RA,9,9,12,,,,*,*,17,17
2015,Algeria,Syrian Arab Rep.,U / FI,4099,4099,2111,,,,16,16,6194,6194
2015,Dominican Rep.,Syrian Arab Rep.,G / FI,*,*,5,,,,5,5,*,*
2015,Denmark,Syrian Arab Rep.,G / AR,80,0,115,42,*,102,,148,30,0
2015,Denmark,Syrian Arab Rep.,G / FI,1388,0,8608,4167,1550,111,,5828,795,0
2015,Djibouti,Syrian Arab Rep.,G / FI,*,*,*,*,,,*,7,0,0
2015,Germany,Syrian Arab Rep.,G / JR,8393,,,227,15,50,3546,3838,3670,0
2015,Germany,Syrian Arab Rep.,G / RA,850,,3853,3481,85,*,116,3683,1553,
2015,Germany,Syrian Arab Rep.,G / NA,20348,0,158657,97656,197,22,4062,101937,76359,0
2015,Czech Rep.,Syrian Arab Rep.,G / RA,,,5,,,,,,,
2015,Czech Rep.,Syrian Arab Rep.,G / FI,55,0,129,29,101,,20,150,42,0
2015,Cyprus,Syrian Arab Rep.,G / RA,,,42,,,,,,42,
2015,Cyprus,Syrian Arab Rep.,U / FA,*,*,50,54,,,,54,0,
2015,Cyprus,Syrian Arab Rep.,G / AR,276,,29,14,202,*,23,243,62,*
2015,Cyprus,Syrian Arab Rep.,G / FI,1069,,908,33,1356,,100,1489,488,135
2015,Cayman Islands,Syrian Arab Rep.,G / FI,,,*,*,,,,*,0,0
2015,Cura̤ao,Syrian Arab Rep.,U / FI,,,*,,,,,,*,*
2015,Cuba,Syrian Arab Rep.,U / FA,0,0,26,22,,,*,26,0,0
2015,Costa Rica,Syrian Arab Rep.,G / FI,*,*,*,*,,,,*,*,*
2015,Colombia,Syrian Arab Rep.,G / FI,*,*,7,*,,,6,9,0,0
2015,Congo,Syrian Arab Rep.,G / FA,,,8,*,,,,*,*,*
2015,Dem. Rep. of the Congo,Syrian Arab Rep.,G / FI,*,*,5,7,0,0,0,7,0,0
2015,Cameroon,Syrian Arab Rep.,U / RA,,,*,,,,,,*,*
2015,Cameroon,Syrian Arab Rep.,U / FI,11,11,11,13,,,*,15,7,7
2015,C̫te d'Ivoire,Syrian Arab Rep.,J / FA,16,16,9,17,,,,17,8,8
2015,China,Syrian Arab Rep.,U / FI,*,*,32,9,,,,9,24,24
2015,Chile,Syrian Arab Rep.,G / FI,10,6,8,7,,,,7,11,*
2015,Switzerland,Syrian Arab Rep.,G / FI,3309,0,4745,1309,1972,421,122,3824,4462,0
2015,Canada,Syrian Arab Rep.,G / AR,7,,9,*,,8,,10,8,
2015,Canada,Syrian Arab Rep.,G / FI,177,,544,551,,13,6,570,227,
2015,Central African Rep.,Syrian Arab Rep.,G / FI,8,8,,,,,,,8,8
2015,Brazil,Syrian Arab Rep.,G / FI,76,76,1610,532,,0,,532,1154,592
2015,Bolivia (Plurinational State of),Syrian Arab Rep.,G / FI,,,*,*,,,,*,0,
2015,Belarus,Syrian Arab Rep.,G / JR,0,0,*,0,0,0,*,*,0,0
2015,Belarus,Syrian Arab Rep.,G / FI,48,42,103,16,50,22,56,144,7,7
2015,Bosnia and Herz.,Syrian Arab Rep.,G / FI,*,*,5,,*,,,*,*,*
2015,Bulgaria,Syrian Arab Rep.,G / RA,,,33,,,,,,,
2015,Bulgaria,Syrian Arab Rep.,G / FI,2510,2510,5950,4520,802,66,2042,7430,1683,1683
2015,Belgium,Syrian Arab Rep.,G / JR,,0,23,*,,15,*,21,6,0
2015,Belgium,Syrian Arab Rep.,G / RA,,,122,,,,8,8,,
2015,Belgium,Syrian Arab Rep.,G / FI,727,0,10293,3443,430,57,27,3957,3864,0
2015,Azerbaijan,Syrian Arab Rep.,G / FI,0,0,5,0,0,*,0,*,*,*
2015,Azerbaijan,Syrian Arab Rep.,U / FI,7,7,6,6,,0,0,6,7,7
2015,Austria,Syrian Arab Rep.,G / RA,,,195,,,,,,,
2015,Austria,Syrian Arab Rep.,G / FA,4872,,24352,8114,183,752,1213,10262,18669,0
2015,Australia,Syrian Arab Rep.,G / AR,*,0,*,0,,*,*,*,*,0
2015,Australia,Syrian Arab Rep.,G / FI,180,0,87,*,,113,7,123,129,0
2015,Antigua and Barbuda,Syrian Arab Rep.,J / FI,,,15,15,,,,15,0,0
2015,Armenia,Syrian Arab Rep.,U / FI,,,*,,,,,,*,*
2015,Armenia,Syrian Arab Rep.,G / FI,9,9,103,87,,,14,101,11,11
2015,Argentina,Syrian Arab Rep.,G / FI,22,,159,55,,19,9,83,98,9
2015,United Arab Emirates,Syrian Arab Rep.,U / AR,12,12,121,18,,,6,24,109,109
2015,Albania,Syrian Arab Rep.,G / FI,8,8,71,,,,79,79,0,0
2015,Anguilla,Syrian Arab Rep.,J / FI,,,*,*,,,,*,0,
